,ticker,ShortNames,longNames
0,CCL,Carnival Corporation,Carnival Corporation & plc
1,TSLA,"Tesla, Inc.","Tesla, Inc."
2,AMCR,Amcor plc,Amcor plc
3,K,Kellogg Company,Kellogg Company
4,GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc."
5,CHTR,"Charter Communications, Inc.","Charter Communications, Inc."
6,CL,Colgate-Palmolive Company,Colgate-Palmolive Company
7,NWL,Newell Brands Inc.,Newell Brands Inc.
8,OXY,Occidental Petroleum Corporatio,Occidental Petroleum Corporation
9,ETSY,"Etsy, Inc.","Etsy, Inc."
10,AAPL,Apple Inc.,Apple Inc.
